id,category,question,gold_sections,required_facts,difficulty,status,notes
RB4,multi-hop-synthesis,"How do PUT and POST differ in their effect on the target resource, and how does that relate to idempotency?",9.3.4; 9.3.3; 9.2.2,"PUT replaces/creates the target resource with the enclosed representation and is idempotent; POST asks the target resource to process the enclosed representation per its own semantics and is not idempotent; idempotent set = PUT, DELETE, safe methods",hard,draft,"PUT L1624, POST L1603, idempotent L1546."
RB5,multi-hop-synthesis,"How does a server tell caches that a response was content-negotiated, what does that header field describe, and which request header field is a typical input to that negotiation?",12.5.5; 12.5.1,"the Vary header field lists which parts of the request (beyond method + target URI, e.g. Accept) influenced content selection; caches use Vary to avoid reusing a response negotiated for a different request",hard,draft,"Vary L2340, Accept L2212."
RB6,multi-hop-synthesis,"Which redirect status codes guarantee the request method is preserved on automatic redirection, and how does that contrast with 302 and 303?",15.4.8; 15.4.9; 15.4.3; 15.4.4,307 (Temporary) and 308 (Permanent) MUST NOT change the request method; 302 (Found) historically MAY change POST to GET; 303 (See Other) directs the agent to GET a different resource,hard,draft,"307 L3230, 308 L3237, 302 L3183, 303 L3192."
RC2,cross-reference-resolution,"The Location header field appears in both 201 and 3xx responses. Where is Location defined, and does it mean the same thing in a 201 as in a 301?",10.2.2; 15.3.2; 15.4.2,"Location is defined in 10.2.2; its meaning is set by the combination of request method and status code; in 201 it identifies the newly created resource, in 301 it is the new permanent (redirect) URI",hard,draft,"Location L1900, 201 L3019, 301 L3172. 10.2.2 explicitly says meaning depends on method+status."
RC3,cross-reference-resolution,"When is a Content-Range header field sent, and how does its meaning differ between a 206 response and a 416 response?",14.4; 15.3.7; 15.5.17,Content-Range (14.4) in a 206 indicates the partial range of the representation enclosed; in a 416 it uses '*/complete-length' (unsatisfied-range) to report the representation's total length,hard,draft,"Content-Range L2781 (explicitly covers both 206 and 416), 206 L3064, 416 L3363."
RC4,cross-reference-resolution,"The ETag field enables conditional requests. Where is ETag defined, which conditional header fields consume it, and which status code results when the condition means the client's copy is still valid?",8.8.3; 13.1.1; 13.1.2; 15.4.5,ETag defined in 8.8.3; consumed by If-Match (13.1.1) and If-None-Match (13.1.2); a conditional GET/HEAD whose condition evaluates false yields 304 Not Modified (15.4.5),hard,draft,"ETag L1436, If-Match L2387, If-None-Match L2422, 304 L3203."
RC5,cross-reference-resolution,"How are the Allow header field, the 405 status code, and the OPTIONS method related?",10.2.1; 15.5.6; 9.3.7,Allow (10.2.1) lists the resource's supported methods; a 405 (15.5.6) response MUST include an Allow field; OPTIONS (9.3.7) is the method for querying a resource's communication options,hard,draft,"Allow L1885, 405 L3286 (MUST generate Allow), OPTIONS L1709."
RD2,scattered-enumeration,List the header fields RFC 9110 defines for proactive content negotiation.,12.5.1; 12.5.2; 12.5.3; 12.5.4; 12.5.5,"Accept, Accept-Charset, Accept-Encoding, Accept-Language, Vary",medium,draft,Anchors L2212/2263/2278/2317/2340. Bonus: Accept-Charset is noted as deprecated in 12.5.2.
RD3,scattered-enumeration,"Which header fields does RFC 9110 define for range requests, and is each a request or response field?",14.2; 14.3; 14.4,"Range (14.2, request), Accept-Ranges (14.3, response), Content-Range (14.4, response)",medium,draft,Anchors L2727/2756/2781.
RD4,scattered-enumeration,"Enumerate the 2xx (Successful) status codes defined in RFC 9110, with a one-line meaning for each.",15.3.1; 15.3.2; 15.3.3; 15.3.4; 15.3.5; 15.3.6; 15.3.7,"200 OK, 201 Created, 202 Accepted, 203 Non-Authoritative Information, 204 No Content, 205 Reset Content, 206 Partial Content",medium,draft,Anchors L3006-L3064. Must be exactly these seven (no 207/etc.).
RD5,scattered-enumeration,"Which representation-metadata 'Content-*' header fields does RFC 9110 define in Section 8, and what does each convey?",8.3; 8.4; 8.5; 8.6; 8.7,"Content-Type, Content-Encoding, Content-Language, Content-Length, Content-Location",medium,draft,Anchors L1162/1212/1261/1297/1326. Content-Range (14.4) is NOT a Section-8 metadata field.
RE2,boundary-absence,"Does RFC 9110 specify the on-the-wire message framing, such as the chunked transfer coding? If not, where is that defined?",NONE-for-framing,"9110 defines semantics, NOT messaging syntax; framing / chunked transfer coding lives in [HTTP/1.1] = RFC 9112; 9110 explicitly separates semantics from the HTTP/1.1 messaging syntax",medium,draft,Separation stated at L96 (semantics vs [HTTP/1.1] syntax); chunked mentioned only as a syntax feature at L90.
RE3,boundary-absence,Does RFC 9110 define the Set-Cookie header field and cookie handling?,NONE-defines-cookies,9110 does NOT define cookies; Set-Cookie / cookies are specified by [COOKIE] = RFC 6265; 9110 only references them (as an external extension and a field-parsing special case). Correct answer states referenced-not-defined,medium,draft,"Set-Cookie appears only as a special-case note (L528) and cross-refs (L355, L1730); never defined."
RE4,boundary-absence,Does RFC 9110 define a 429 (Too Many Requests) status code or any rate-limiting behavior?,NONE,"9110 does NOT define 429 or rate limiting; 429 is defined by RFC 6585 (Additional HTTP Status Codes), outside 9110. Correct answer states the absence",medium,draft,Verified: no occurrence of '429' or 'too many requests' anywhere in the document.
