qid,category,index,retriever,retrieval_score,answer_score,judge,note
RD4,reflective-discovery,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
RD6,reflective-discovery,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL3,direct-location,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL4,direct-location,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL5,direct-location,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL9,direct-location,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CS2,cross-section-synthesis,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CS6,cross-section-synthesis,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CS8,cross-section-synthesis,IDX-D,claude-sonnet-4-5,4,3,"claude-opus (agent, first pass)",
CN4,consistency,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CN6,consistency,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
EG4,evidence-gap,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
EG5,evidence-gap,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
EG6,evidence-gap,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
RD4,reflective-discovery,IDX-D,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
RD6,reflective-discovery,IDX-D,claude-sonnet-4-5,,,"claude-opus (agent, first pass)",ERROR: Anthropic credit exhausted
DL3,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,4,3,"claude-opus (agent, first pass)",
DL4,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
DL5,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,3,2,"claude-opus (agent, first pass)",
DL9,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,4,4,"claude-opus (agent, first pass)",
CS2,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,4,3,"claude-opus (agent, first pass)",
CS6,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
CS8,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,3,2,"claude-opus (agent, first pass)",
CN4,consistency,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
CN6,consistency,IDX-D,qwen2.5-7b-instruct-ctx32k,2,1,"claude-opus (agent, first pass)",
EG4,evidence-gap,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
EG5,evidence-gap,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
EG6,evidence-gap,IDX-D,qwen2.5-7b-instruct-ctx32k,4,3,"claude-opus (agent, first pass)",
RD4,reflective-discovery,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
RD6,reflective-discovery,IDX-D,qwen2.5-7b-instruct-ctx32k,1,1,"claude-opus (agent, first pass)",
DL3,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
DL4,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
DL5,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
DL9,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
CS2,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
CS6,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
CS8,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
CN4,consistency,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
CN6,consistency,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
EG4,evidence-gap,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
EG5,evidence-gap,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
EG6,evidence-gap,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
RD4,reflective-discovery,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
RD6,reflective-discovery,IDX-C,qwen2.5-7b-instruct-ctx32k,0,0,"claude-opus (agent, first pass)","COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview"
